Claim Settlement Time,Claim Approval Rate,Claims Handling Process,Service_score
16.88,84.8,2,1
20.27,88.8,2,1
10.94,87.6,0,2
3.86,82.11,2,1
15.13,84.08,0,2
27.31,81.72,1,0
28.05,97.81,2,1
26.77,80.5,1,0
1.78,80.75,0,2
16.64,81.93,2,1
22.28,93.75,0,0
17.88,90.49,1,0
4.91,95.11,1,2
3.17,83.29,1,2
24.91,88.86,1,0
23.69,96.82,2,1
19.35,98.86,0,0
6.46,98.41,1,2
4.82,97.47,0,2
10.09,83.77,2,1
8.75,99.2,2,1
9.02,90.18,1,2
7.15,84.25,0,2
29.82,96.33,1,0
2.25,96.55,2,1
25.58,80.34,2,1
15.68,96.46,1,0
12.99,98.22,0,2
14.12,97.83,2,1
11.38,92.75,1,2
14.61,81.8,0,2
15.23,96.05,0,2
13.06,96.93,1,2
24.88,91.77,1,0
11.91,81.61,1,2
5.75,90.37,0,2
9.81,90.62,1,2
29.03,80.62,0,0
4.87,83.69,0,2
6.96,99.4,2,1
4.52,81.54,1,2
12.69,93.34,0,2
3.94,89.21,1,2
22.53,84.19,1,0
2.16,85.36,2,1
9.1,84.58,1,2
24.01,93.93,0,0
1.59,86.42,1,2
13.32,98.13,2,1
13.48,96.87,2,1
13.17,86.69,1,2
28.62,90.78,0,0
20.08,84.72,2,1
18.75,87.58,1,0
3.42,81.17,1,2
17.57,85.82,2,1
27.08,93.76,0,0
14.43,92.44,0,2
18.15,80.64,1,0
9.44,83.58,0,2
22.0,80.11,2,1
23.67,80.11,0,0
25.83,94.24,2,1
24.33,81.3,0,0
8.53,85.89,0,2
14.82,87.41,0,2
1.32,92.22,0,2
15.05,97.49,2,1
5.08,98.73,0,2
8.98,80.14,0,2
18.96,85.36,2,1
5.11,91.61,2,1
20.42,94.74,0,0
9.23,81.59,1,2
29.85,88.68,1,0
20.47,88.88,2,1
29.72,88.4,1,0
20.17,97.22,2,1
21.46,88.97,0,0
6.94,87.38,2,1
12.7,96.44,1,2
25.18,83.62,2,1
20.44,87.72,1,0
19.24,88.49,1,0
27.41,80.36,1,0
3.92,82.54,0,2
3.27,86.16,0,2
28.46,99.56,2,1
20.68,91.39,2,1
11.42,90.19,1,2
12.75,99.19,2,1
28.59,80.43,2,1
17.98,84.86,1,0
26.35,91.08,1,0
9.89,83.5,0,2
10.39,83.73,0,2
2.66,85.53,1,2
22.82,93.06,2,1
8.68,88.12,0,2
5.87,94.32,0,2
13.78,100.0,1,2
28.3,84.43,0,0
3.5,90.16,1,2
26.97,87.82,1,0
1.88,81.04,1,2
18.21,89.83,2,1
23.17,84.99,2,1
22.16,89.99,1,0
13.22,83.18,2,1
7.93,92.01,1,2
3.85,85.32,2,1
19.59,80.73,1,0
15.91,83.22,0,0
5.38,80.95,0,2
12.0,84.41,0,2
18.05,81.8,1,0
29.27,97.15,1,0
21.39,90.27,0,0
27.85,97.61,2,1
26.9,86.32,2,1
16.88,86.65,0,0
4.47,87.41,2,1
25.84,96.1,0,0
14.44,87.39,2,1
11.74,96.49,2,1
15.18,83.98,0,2
26.22,92.6,2,1
14.56,95.75,1,2
7.66,89.17,0,2
10.67,96.16,0,2
23.1,87.19,1,0
2.72,88.44,2,1
13.2,93.98,1,2
22.49,97.24,0,0
17.48,96.28,1,0
6.92,98.3,0,2
29.4,82.0,2,1
3.62,84.56,0,2
1.17,96.81,2,1
4.79,85.15,2,1
14.14,96.12,2,1
4.02,96.76,1,2
6.05,80.6,0,2
23.28,94.95,0,0
20.08,93.63,1,0
7.03,90.36,2,1
17.95,82.77,0,0
25.11,94.75,0,0
24.77,98.74,0,0
16.83,91.81,2,1
26.69,93.72,0,0
7.47,99.61,2,1
6.04,81.68,1,2
27.64,98.43,2,1
26.74,98.01,0,0
5.64,96.57,0,2
15.56,89.72,0,2
20.82,81.82,2,1
16.48,80.66,2,1
22.62,84.6,1,0
1.18,85.76,2,1
11.51,95.95,2,1
14.75,98.77,2,1
20.1,90.43,0,0
16.44,92.56,1,0
21.8,86.3,2,1
14.07,94.8,2,1
12.4,82.57,0,2
10.76,98.16,0,2
12.6,83.03,2,1
22.56,99.77,1,0
8.62,96.09,2,1
13.53,99.19,2,1
11.28,84.14,0,2
6.92,91.17,0,2
9.6,94.61,1,2
29.5,86.68,0,0
3.13,82.35,2,1
9.21,93.8,2,1
12.56,97.98,1,2
8.69,99.71,1,2
19.06,82.06,0,0
12.97,86.77,0,2
19.91,92.85,0,0
6.53,84.25,2,1
6.74,89.92,0,2
17.12,88.58,0,0
19.89,91.1,2,1
9.86,95.19,1,2
6.04,91.25,1,2
2.82,99.45,1,2
8.68,95.08,0,2
28.93,90.76,0,0
13.59,80.98,2,1
14.44,84.65,0,2
9.47,95.16,2,1
3.52,94.7,0,2
17.24,94.5,2,1
10.74,99.57,0,2
2.63,90.2,1,2
17.45,89.29,1,0
27.44,82.22,1,0
28.92,92.34,0,0
17.54,80.1,2,1
7.68,81.1,2,1
21.01,85.13,2,1
7.04,96.41,1,2
17.85,98.95,0,0
4.02,84.27,0,2
8.78,80.36,2,1
26.39,81.36,1,0
26.39,98.45,0,0
18.49,80.4,0,0
14.2,85.13,0,2
6.89,86.39,0,2
12.61,89.43,1,2
9.87,80.86,1,2
22.73,85.93,1,0
14.43,80.51,1,2
28.0,84.82,0,0
21.37,90.39,1,0
28.27,91.69,0,0
23.72,88.54,1,0
14.33,95.17,0,2
14.81,92.69,1,2
4.23,90.86,1,2
4.67,88.9,0,2
27.81,91.0,2,1
8.24,88.04,2,1
7.94,80.71,2,1
3.69,98.65,2,1
21.86,85.06,2,1
12.55,95.94,0,2
5.89,85.42,2,1
25.03,90.94,0,0
21.8,89.74,1,0
5.33,94.75,2,1
14.86,92.5,1,2
26.98,93.65,2,1
28.17,83.15,1,0
28.2,84.03,1,0
23.11,96.49,1,0
3.41,81.15,2,1
21.12,98.41,1,0
25.89,86.14,0,0
12.89,92.48,2,1
29.13,88.86,0,0
23.78,98.41,2,1
12.51,83.43,2,1
5.93,80.16,0,2
10.85,85.87,2,1
1.95,92.59,1,2
1.85,81.78,1,2
17.54,92.89,1,0
1.18,82.58,2,1
15.4,88.3,2,1
16.17,83.53,0,0
22.78,88.09,2,1
24.47,92.87,2,1
16.1,84.89,2,1
24.19,85.13,0,0
4.51,94.11,2,1
23.28,85.96,1,0
2.83,97.52,0,2
19.72,82.94,2,1
19.65,81.66,0,0
4.73,84.36,2,1
10.97,91.91,0,2
6.47,85.22,0,2
9.18,95.7,2,1
1.88,99.53,2,1
16.58,93.28,2,1
22.25,95.56,1,0
5.85,88.89,0,2
2.21,80.68,1,2
21.2,93.9,2,1
16.67,89.18,0,0
16.91,98.6,2,1
13.34,81.03,0,2
6.72,88.1,2,1
22.8,80.39,2,1
28.77,99.67,2,1
24.99,90.5,1,0
24.39,97.74,2,1
18.55,80.18,2,1
8.52,81.2,2,1
6.1,85.32,0,2
23.51,85.51,1,0
19.22,91.53,1,0
24.69,82.62,0,0
11.05,89.88,0,2
11.66,85.6,1,2
17.35,94.04,2,1
4.7,89.76,1,2
21.63,87.03,1,0
1.17,97.03,0,2
28.71,90.28,1,0
18.65,87.06,2,1
15.28,85.62,1,2
9.06,86.84,0,2
26.38,82.01,1,0
21.58,92.78,0,0
29.85,88.21,0,0
25.21,97.59,2,1
21.26,85.73,1,0
25.29,80.43,0,0
5.88,92.76,0,2
2.38,84.37,1,2
18.31,92.09,2,1
10.1,94.95,0,2
16.63,93.94,0,0
15.2,90.7,0,2
29.26,99.1,2,1
24.56,81.36,2,1
25.5,95.05,1,0
13.73,82.04,2,1
14.84,81.62,1,2
14.12,83.44,0,2
28.36,92.26,0,0
7.73,85.38,1,2
28.07,82.61,1,0
3.06,90.32,1,2
14.78,90.33,2,1
22.51,89.95,1,0
10.01,98.08,0,2
3.79,96.8,2,1
11.97,96.03,0,2
23.46,97.28,0,0
11.49,87.87,2,1
11.75,85.37,0,2
4.01,96.56,0,2
10.09,84.49,0,2
28.74,89.2,1,0
11.06,81.6,2,1
7.12,91.05,0,2
1.38,82.56,0,2
2.73,87.17,2,1
14.28,92.59,0,2
15.65,85.79,0,0
6.75,81.69,1,2
1.03,98.21,1,2
28.47,97.46,2,1
4.54,92.22,2,1
15.98,89.84,1,0
12.6,88.27,0,2
17.21,87.09,0,0
13.04,90.38,2,1
25.14,97.56,2,1
5.06,81.11,2,1
22.4,99.97,0,0
26.61,89.86,2,1
29.47,84.66,2,1
5.23,99.7,0,2
4.09,93.93,1,2
15.05,99.18,2,1
21.67,80.31,1,0
20.01,80.76,1,0
29.46,85.35,2,1
1.69,80.4,1,2
17.25,87.48,1,0
26.7,82.81,1,0
13.77,97.78,0,2
17.4,92.53,0,0
5.43,80.77,0,2
28.95,86.11,0,0
13.69,94.27,2,1
22.38,99.29,2,1
17.44,94.96,2,1
25.88,96.5,1,0
4.62,92.96,2,1
12.41,92.94,2,1
26.57,95.16,0,0
1.36,86.38,1,2
8.41,92.24,2,1
18.51,82.05,0,0
18.84,93.28,1,0
16.82,88.79,1,0
2.46,82.25,0,2
16.77,96.07,2,1
7.97,83.54,0,2
29.72,97.27,1,0
9.64,85.62,1,2
9.79,88.17,0,2
24.31,81.14,1,0
3.4,93.95,2,1
20.82,83.77,1,0
29.23,92.95,1,0
24.77,83.76,2,1
22.5,89.41,0,0
18.55,83.04,0,0
21.5,87.99,1,0
16.33,99.23,2,1
9.07,92.39,0,2
6.89,93.45,2,1
13.97,92.5,0,2
11.8,90.13,2,1
12.37,96.08,2,1
2.14,96.34,2,1
15.04,91.43,2,1
7.22,81.02,1,2
11.54,96.35,0,2
24.85,93.04,0,0
20.66,91.32,0,0
10.12,95.04,2,1
29.12,98.71,0,0
15.36,83.07,2,1
20.97,83.0,0,0
1.16,92.58,1,2
12.04,84.34,1,2
4.64,89.75,1,2
22.64,99.6,0,0
20.52,90.22,2,1
4.06,85.14,1,2
8.08,86.25,1,2
14.96,81.42,0,2
2.3,89.94,2,1
17.48,83.96,1,0
3.71,89.42,0,2
25.58,87.63,0,0
26.16,80.16,2,1
1.87,97.16,2,1
22.68,94.18,1,0
7.66,85.42,0,2
7.63,87.18,2,1
21.18,80.8,2,1
6.77,98.34,0,2
14.3,97.84,0,2
14.19,93.34,0,2
14.73,86.99,2,1
13.42,88.39,2,1
18.08,88.59,0,0
8.5,95.02,0,2
24.29,95.54,0,0
25.6,81.31,1,0
20.57,85.91,0,0
23.02,87.13,0,0
4.76,91.2,1,2
22.91,94.81,2,1
28.29,85.63,2,1
23.31,81.45,1,0
14.11,98.87,1,2
25.25,90.94,2,1
7.48,89.84,1,2
20.39,87.28,2,1
3.05,99.32,1,2
21.25,98.93,1,0
17.46,85.23,1,0
1.93,84.52,2,1
6.93,89.45,0,2
27.14,88.82,1,0
16.21,92.27,0,0
18.67,85.78,2,1
21.38,84.57,0,0
13.97,80.74,0,2
14.99,85.46,0,2
24.84,93.87,2,1
19.99,84.86,0,0
20.06,88.7,2,1
19.03,98.97,1,0
28.95,80.11,0,0
2.12,92.55,2,1
25.11,97.09,0,0
9.06,99.85,0,2
5.56,92.66,2,1
4.9,95.91,2,1
13.86,98.82,2,1
23.32,95.93,1,0
20.92,98.13,1,0
23.98,95.76,2,1
16.03,82.73,2,1
26.52,85.36,0,0
11.83,95.68,0,2
17.43,97.04,1,0
25.45,92.4,1,0
28.57,86.94,2,1
29.32,93.05,2,1
22.77,89.21,1,0
26.6,96.55,0,0
10.4,94.68,1,2
22.78,92.61,0,0
2.94,80.77,2,1
29.29,81.91,0,0
11.0,85.24,0,2
5.24,85.07,2,1
5.08,94.92,2,1
3.76,90.87,0,2
2.69,87.96,1,2
7.61,88.79,0,2
28.3,86.12,2,1
10.55,81.86,1,2
15.46,96.66,1,0
9.5,86.86,1,2
10.11,96.31,0,2
8.42,87.38,2,1
6.85,98.6,2,1
25.78,88.59,1,0
1.99,84.17,2,1
12.3,94.44,0,2
15.64,91.35,0,0
13.93,83.16,1,2
3.91,86.93,1,2
15.73,80.99,2,1
15.29,98.68,1,2
14.64,81.2,2,1
15.26,92.67,0,2
9.41,94.77,1,2
13.45,86.72,0,2
22.95,81.91,0,0
26.55,94.72,1,0
2.7,91.19,1,2
20.78,82.28,1,0
12.97,88.54,2,1
9.06,86.09,0,2
11.29,83.25,1,2
6.67,84.18,1,2
9.5,94.63,1,2
29.95,85.13,1,0
21.4,83.39,1,0
8.16,84.54,2,1
27.04,90.38,1,0
18.14,92.53,1,0
10.6,80.23,1,2
5.77,95.06,0,2
18.9,88.0,2,1
9.5,81.43,1,2
3.24,93.8,2,1
17.4,89.96,0,0
1.08,87.97,1,2
18.62,88.39,0,0
10.58,81.83,2,1
15.09,92.79,1,2
23.75,81.37,2,1
13.35,95.5,1,2
28.38,94.42,1,0
21.43,98.12,2,1
10.54,87.14,0,2
1.18,93.88,2,1
20.9,96.56,0,0
11.04,95.1,0,2
6.12,82.87,1,2
7.37,86.92,1,2
5.49,85.77,2,1
8.66,99.37,0,2
6.71,82.57,0,2
6.16,82.56,1,2
5.43,91.5,1,2
29.11,86.75,0,0
29.75,86.66,2,1
11.01,99.25,2,1
3.53,97.13,2,1
18.39,98.39,0,0
6.09,97.49,0,2
11.28,85.34,1,2
24.1,80.66,0,0
9.59,86.52,0,2
20.22,93.69,2,1
1.83,91.97,1,2
29.32,93.22,2,1
20.15,82.65,0,0
11.01,88.26,2,1
14.32,88.93,2,1
19.58,93.19,0,0
10.34,88.0,2,1
18.12,98.61,0,0
8.56,87.96,0,2
10.98,98.75,2,1
3.54,93.65,0,2
8.23,91.78,0,2
9.94,93.52,1,2
28.66,87.2,1,0
13.33,93.62,2,1
16.72,83.74,2,1
8.22,84.74,1,2
25.35,91.72,2,1
18.56,88.22,1,0
25.3,91.67,2,1
19.9,81.17,1,0
14.47,95.18,0,2
17.73,97.21,1,0
27.25,85.05,0,0
29.5,85.74,0,0
24.7,88.42,0,0
7.81,97.42,2,1
8.35,93.26,2,1
2.57,87.64,2,1
17.81,86.86,2,1
29.29,94.28,0,0
6.26,95.74,2,1
10.57,93.66,0,2
3.55,86.06,0,2
28.72,97.4,2,1
3.87,87.52,1,2
15.96,87.49,2,1
13.19,80.48,1,2
15.43,89.76,1,2
9.41,84.44,0,2
7.51,99.36,0,2
9.78,99.29,0,2
18.07,89.06,2,1
17.85,86.08,2,1
11.3,99.79,2,1
21.33,92.05,1,0
2.91,92.99,1,2
26.78,96.9,1,0
20.71,89.7,1,0
19.88,83.74,1,0
22.63,93.04,2,1
25.35,91.05,2,1
2.25,93.09,0,2
7.72,99.21,1,2
15.43,84.66,2,1
27.77,83.78,1,0
7.56,94.94,2,1
27.92,89.47,0,0
9.08,88.39,2,1
17.52,80.77,1,0
20.44,93.8,1,0
19.41,85.47,0,0
27.1,97.09,2,1
3.58,87.18,1,2
22.53,84.67,0,0
4.8,94.11,2,1
3.31,88.19,0,2
17.22,86.61,0,0
15.38,81.18,0,2
3.11,93.29,2,1
25.57,96.95,0,0
23.3,83.73,2,1
29.91,99.24,2,1
13.63,80.42,2,1
11.7,99.73,1,2
16.4,92.56,1,0
9.81,86.33,1,2
17.06,80.91,2,1
14.64,94.79,2,1
12.01,89.43,0,2
7.26,96.56,1,2
6.23,87.85,2,1
2.88,92.24,2,1
23.04,93.27,0,0
14.67,87.66,0,2
23.63,91.16,1,0
8.71,93.61,0,2
19.63,95.29,2,1
18.21,99.21,2,1
13.93,97.23,2,1
23.73,94.83,2,1
23.22,91.84,1,0
14.27,86.6,0,2
23.4,86.17,2,1
23.87,93.45,2,1
10.33,83.3,1,2
28.59,85.9,0,0
16.07,91.92,2,1
3.92,90.0,2,1
28.78,92.04,2,1
21.87,80.84,0,0
17.58,83.99,2,1
22.32,83.47,1,0
17.76,97.91,2,1
19.27,85.94,1,0
6.83,80.64,2,1
11.75,94.55,2,1
2.74,94.09,1,2
12.13,90.41,0,2
20.86,96.91,2,1
11.43,82.07,1,2
17.21,90.3,0,0
14.4,97.44,2,1
13.0,92.06,0,2
25.35,86.89,0,0
20.09,82.42,0,0
10.73,82.31,0,2
26.98,99.07,1,0
15.09,85.38,0,2
13.68,95.75,2,1
6.86,82.42,2,1
6.01,94.73,1,2
8.39,87.78,0,2
18.92,84.53,0,0
29.56,84.83,1,0
2.53,80.66,0,2
18.33,95.37,0,0
25.36,97.89,2,1
5.21,80.34,0,2
7.82,97.62,1,2
2.11,99.4,0,2
5.34,96.37,1,2
12.18,95.41,0,2
1.77,87.11,1,2
5.38,99.16,0,2
20.73,87.05,2,1
3.48,99.58,0,2
22.5,87.84,0,0
6.4,91.4,0,2
22.86,92.12,0,0
8.78,94.33,0,2
22.75,96.96,0,0
25.27,96.59,1,0
13.88,86.43,2,1
28.92,89.98,2,1
5.08,85.51,1,2
12.64,93.69,1,2
23.92,91.35,2,1
6.64,97.79,2,1
10.55,99.34,1,2
5.37,83.11,0,2
27.26,96.94,1,0
2.54,87.11,0,2
16.76,90.5,0,0
22.8,95.26,0,0
23.29,96.15,1,0
19.83,94.99,1,0
12.62,86.1,2,1
29.11,81.86,1,0
4.6,89.84,1,2
17.0,90.07,2,1
15.16,94.12,1,2
12.46,94.11,1,2
2.75,85.23,2,1
9.42,92.27,1,2
14.67,85.88,1,2
29.98,94.77,1,0
12.6,92.33,0,2
7.9,97.98,1,2
19.39,99.86,1,0
16.04,89.76,2,1
7.52,92.16,1,2
19.9,82.01,2,1
14.11,99.29,1,2
16.49,94.72,1,0
26.53,97.94,2,1
9.38,89.76,1,2
16.47,81.34,2,1
25.11,80.72,1,0
2.98,91.57,2,1
7.17,88.34,2,1
28.4,86.34,2,1
13.81,97.41,0,2
21.35,82.89,2,1
6.9,88.7,1,2
20.65,98.36,1,0
9.13,99.85,0,2
11.46,89.22,2,1
10.09,98.25,0,2
25.2,83.62,2,1
23.58,85.93,2,1
1.2,88.16,0,2
3.27,99.66,1,2
3.67,82.26,1,2
27.13,92.64,1,0
4.41,94.36,1,2
26.73,98.36,2,1
28.34,80.26,2,1
3.54,84.35,2,1
8.5,91.92,2,1
22.09,86.08,2,1
10.21,95.05,1,2
29.15,85.16,1,0
18.59,92.57,1,0
27.11,82.09,1,0
13.36,98.3,1,2
13.27,81.18,2,1
1.94,94.23,2,1
27.65,92.61,1,0
3.74,95.24,0,2
9.2,86.37,0,2
15.99,91.61,2,1
6.96,99.92,1,2
28.96,92.93,0,0
29.41,86.89,0,0
6.71,80.94,2,1
21.92,84.27,1,0
12.44,94.41,2,1
7.87,91.44,2,1
21.65,91.23,2,1
15.65,87.49,0,0
16.95,84.3,1,0
19.11,85.95,1,0
10.29,97.66,0,2
21.8,94.63,0,0
13.18,97.37,0,2
2.57,92.92,2,1
6.55,83.72,2,1
15.93,93.85,1,0
13.95,89.51,1,2
19.36,83.2,2,1
8.19,88.65,0,2
29.27,90.68,2,1
19.88,98.74,1,0
18.17,90.86,0,0
12.87,97.75,1,2
26.75,95.12,1,0
3.63,91.44,1,2
18.1,83.62,0,0
14.91,88.74,0,2
4.34,82.0,0,2
17.29,96.59,0,0
25.37,87.27,2,1
20.35,96.22,2,1
14.07,85.04,2,1
14.01,89.77,2,1
9.77,93.43,2,1
28.91,94.92,2,1
7.16,89.4,2,1
15.77,84.65,0,0
12.39,85.73,1,2
10.32,95.85,1,2
16.55,80.03,2,1
21.17,86.24,2,1
5.43,98.88,1,2
25.43,93.14,2,1
5.5,98.98,1,2
26.61,88.28,0,0
4.72,82.03,2,1
9.45,90.95,0,2
5.29,86.75,2,1
8.33,81.3,1,2
28.94,92.22,2,1
29.83,90.56,0,0
27.49,88.87,2,1
10.19,87.08,2,1
5.93,86.98,1,2
6.39,98.41,0,2
15.88,91.81,2,1
1.02,81.36,0,2
5.58,82.84,2,1
19.6,81.66,1,0
20.33,89.26,1,0
7.41,97.77,1,2
26.91,80.0,0,0
25.61,86.61,1,0
16.88,97.46,1,0
20.55,84.43,0,0
29.52,98.43,0,0
9.9,93.34,1,2
10.14,84.54,2,1
8.42,85.02,0,2
7.56,98.19,2,1
10.89,97.78,2,1
6.2,90.49,2,1
8.12,83.18,0,2
4.92,95.75,2,1
4.55,82.99,0,2
18.17,94.75,1,0
4.33,97.07,0,2
5.73,94.73,2,1
12.31,88.32,1,2
1.71,96.83,0,2
6.32,82.5,2,1
23.51,92.92,2,1
4.54,92.27,0,2
26.29,94.66,0,0
25.55,81.21,1,0
17.58,94.19,0,0
24.97,86.59,0,0
22.34,80.73,0,0
26.5,81.08,1,0
5.57,94.99,1,2
27.8,81.26,1,0
27.97,97.59,2,1
19.45,95.88,2,1
22.22,96.9,2,1
21.76,94.9,1,0
13.35,84.37,2,1
24.75,81.02,2,1
22.55,93.83,0,0
21.76,94.41,1,0
9.11,86.19,0,2
17.56,86.85,0,0
20.24,85.62,1,0
3.37,97.3,0,2
23.55,82.03,1,0
26.56,98.57,2,1
13.58,88.39,0,2
8.62,97.6,2,1
8.49,93.06,2,1
21.46,87.24,1,0
17.95,85.56,0,0
13.3,91.32,0,2
14.94,94.99,0,2
5.5,87.98,0,2
18.99,86.51,1,0
17.27,84.6,1,0
25.63,87.31,2,1
12.97,98.94,1,2
6.59,99.53,2,1
22.86,82.74,2,1
6.77,87.08,1,2
27.04,92.06,1,0
29.68,88.8,0,0
12.95,92.28,2,1
28.71,99.58,2,1
27.03,93.7,2,1
19.98,95.49,0,0
5.75,96.98,1,2
13.44,94.37,2,1
4.25,87.44,0,2
10.32,96.78,2,1
5.86,82.28,2,1
4.89,99.53,0,2
22.76,84.82,0,0
24.25,94.25,1,0
21.6,89.13,0,0
14.48,90.92,1,2
25.06,82.22,1,0
13.23,89.03,2,1
18.44,81.64,1,0
9.33,98.73,0,2
19.61,89.98,0,0
21.08,86.68,1,0
8.67,90.93,1,2
15.33,81.31,2,1
13.91,84.84,2,1
2.79,83.95,0,2
5.34,84.52,0,2
27.79,96.9,1,0
3.84,84.27,1,2
8.21,81.7,0,2
13.42,96.59,1,2
2.54,81.5,0,2
10.02,89.51,2,1
29.59,97.87,2,1
24.34,90.77,0,0
24.27,86.76,0,0
22.31,95.38,0,0
12.28,84.75,0,2
20.7,82.17,1,0
2.55,87.33,1,2
12.56,85.75,0,2
6.16,82.34,2,1
6.79,80.04,2,1
28.57,91.78,2,1
11.34,98.29,1,2
7.59,97.73,0,2
2.8,83.66,1,2
7.75,86.73,0,2
23.2,90.49,0,0
24.26,88.52,1,0
4.53,90.71,1,2
9.35,98.5,1,2
14.0,95.8,0,2
10.23,91.68,0,2
4.19,97.5,1,2
13.03,92.19,1,2
20.0,81.24,0,0
29.27,95.59,2,1
26.13,92.91,2,1
19.36,81.01,0,0
4.8,84.36,0,2
10.88,99.28,0,2
29.86,94.58,0,0
12.59,83.03,0,2
12.83,82.74,0,2
18.85,92.69,0,0
19.25,90.67,0,0
6.25,86.37,0,2
19.11,96.28,1,0
5.34,90.25,1,2
16.78,93.25,2,1
23.03,90.42,0,0
17.9,90.6,0,0
2.5,80.66,2,1
4.52,94.08,2,1
13.29,87.09,0,2
29.75,80.72,0,0
11.45,87.41,2,1
27.14,89.53,1,0
9.05,84.49,1,2
19.47,87.04,1,0
23.68,97.65,0,0
1.58,83.16,2,1
23.96,87.64,2,1
11.73,95.16,1,2
26.88,86.63,1,0
13.61,90.48,0,2
28.73,86.51,0,0
17.38,89.89,2,1
11.13,80.4,1,2
14.21,84.38,1,2
1.35,92.11,0,2
21.19,90.68,0,0
16.94,90.04,2,1
1.06,81.59,1,2
13.98,86.17,0,2
4.65,86.42,2,1
12.44,84.59,1,2
7.45,93.84,2,1
4.18,85.91,2,1
11.84,96.94,1,2
25.59,98.54,2,1
9.86,96.91,2,1
26.1,84.31,1,0
6.64,88.8,2,1
4.54,83.97,1,2
8.56,81.33,0,2
7.85,93.37,2,1
21.93,91.65,0,0
3.31,94.07,0,2
24.6,98.37,0,0
6.74,94.23,2,1
16.86,88.09,1,0
19.13,90.01,2,1
25.8,98.19,1,0
4.25,96.82,1,2
14.83,80.43,2,1
6.28,90.35,0,2
17.79,81.66,2,1
6.62,91.79,1,2
8.35,95.81,0,2
11.22,85.83,2,1
13.96,96.67,0,2
6.0,83.8,2,1
4.94,82.49,0,2
11.26,89.78,2,1
6.49,91.31,2,1
26.2,90.54,0,0
15.81,81.45,0,0
17.62,84.76,0,0
10.51,81.02,0,2
15.83,93.29,1,0
12.32,92.92,2,1
1.68,98.25,0,2
8.36,89.13,0,2
17.43,82.33,0,0
25.03,81.56,1,0
2.36,91.53,0,2
4.83,80.1,0,2
24.85,97.88,2,1
4.16,92.86,1,2
28.24,95.39,0,0
20.72,87.07,2,1
1.23,90.81,1,2
28.3,82.2,2,1
14.17,84.02,2,1
25.19,99.91,2,1
11.67,83.14,0,2
4.81,90.12,2,1
23.06,94.01,0,0
18.45,96.88,1,0
3.94,83.72,1,2
7.91,86.11,1,2
16.61,88.94,2,1
22.81,90.01,0,0
16.71,99.89,0,0
18.75,87.43,1,0
28.52,99.56,0,0
28.61,98.35,0,0
27.89,81.19,1,0
19.1,89.69,2,1
5.81,85.9,1,2
9.58,80.76,1,2
29.03,86.46,1,0
11.45,82.19,1,2
3.89,97.5,1,2
25.29,80.42,2,1
17.63,92.67,2,1
15.95,80.6,1,0
15.26,85.59,1,2
3.66,82.2,1,2
18.94,88.05,2,1
12.18,82.39,2,1
16.02,91.87,1,0
19.08,87.34,0,0
17.82,90.62,0,0
7.66,80.84,1,2
12.11,98.65,0,2
8.62,84.09,2,1
5.68,96.16,0,2
19.8,99.01,1,0
18.0,93.27,0,0
1.2,80.32,0,2
4.46,92.35,0,2
29.95,87.18,1,0
25.08,92.53,0,0
27.27,87.79,2,1
28.41,83.45,0,0
6.37,81.21,1,2
7.96,84.15,0,2
8.55,97.9,2,1
7.41,85.42,2,1
17.88,80.96,0,0
7.33,89.92,1,2
6.16,92.35,2,1
14.53,87.37,1,2
14.43,98.58,0,2
11.61,82.21,0,2
15.4,90.79,1,2
16.96,83.04,2,1
14.62,84.71,2,1
26.78,89.24,2,1
15.28,94.84,2,1
9.72,88.24,0,2
13.32,83.78,0,2
5.74,85.29,2,1
26.53,91.89,2,1
19.87,97.0,1,0
18.69,91.32,1,0
25.62,88.41,1,0
9.47,97.32,0,2
26.39,87.83,1,0
13.9,80.82,0,2
15.29,96.6,1,2
16.15,86.75,0,0
21.67,87.72,0,0
21.72,89.79,1,0
13.51,85.92,1,2
9.29,95.83,1,2
29.32,83.11,2,1
25.91,80.7,2,1
22.37,88.24,2,1
2.89,91.57,1,2
20.64,80.92,1,0
27.62,81.72,1,0
27.15,99.61,1,0
9.26,95.01,1,2
1.25,85.49,0,2
26.75,86.02,1,0
18.81,83.87,2,1
28.67,80.47,1,0
10.63,95.68,2,1
18.25,85.41,2,1
20.58,83.76,0,0
3.17,80.89,1,2
12.93,81.13,2,1
16.05,95.76,1,0
16.86,91.13,2,1
13.14,86.05,0,2
9.96,83.64,0,2
26.89,99.48,1,0
10.31,81.2,0,2
5.82,82.27,2,1
13.01,87.73,1,2
19.19,82.12,0,0
4.38,99.6,2,1
24.13,88.45,0,0
25.51,92.15,2,1
23.14,94.93,0,0
23.04,95.6,2,1
4.53,80.0,2,1
17.17,92.31,2,1
8.29,84.79,0,2
5.36,99.83,0,2
20.22,87.7,0,0
29.83,84.04,2,1
2.04,84.07,1,2
20.7,98.95,1,0
6.89,85.44,2,1
15.15,85.18,2,1
9.81,99.44,0,2
9.47,85.81,2,1
21.98,85.08,2,1
1.8,97.76,0,2
18.87,87.37,1,0
20.58,87.73,2,1
8.37,81.31,2,1
12.18,99.94,1,2
28.56,94.39,0,0
28.48,93.62,2,1
23.08,90.32,2,1
2.69,99.3,2,1
23.98,82.08,2,1
16.44,94.54,0,0
